"player_name","team_abbreviation","age","player_height","player_weight","country","draft_number","gp","pts","reb","ast","ts_pct","from_US","draft_year_cat","is_tall","sc_level"
"Quentin Grimes","NYK",23,195.58,95.25432,"USA",25,71,11.3,3.2,2.1,0.619,1,"Young",0,"Medium"
"Pat Connaughton","MIL",30,195.58,94.800728,"USA",41,61,7.6,4.6,1.3,0.531,1,"Prime",0,"Medium"
"RJ Barrett","NYK",23,198.12,97.068688,"Canada",3,73,19.6,5,2.8,0.531,0,"Early Prime",0,"High"
"Precious Achiuwa","TOR",23,203.2,102.0582,"Nigeria",20,55,9.2,6,0.9,0.554,0,"Early Prime",1,"Medium"
"RaiQuan Gray","BKN",23,200.66,122.016248,"USA",59,1,16,9,7,0.621,1,"Young",0,"High"
"R.J. Hampton","DET",22,193.04,79.3786,"USA",24,47,6.4,1.9,1.1,0.558,1,"Early Prime",0,"Medium"
"Peyton Watson","DEN",20,200.66,90.7184,"USA",30,23,3.3,1.6,0.5,0.553,1,"Young",0,"Low"
"Patrick Beverley","CHI",34,187.96,81.64656,"USA",42,67,6.2,3.7,2.9,0.534,1,"Veteran",0,"Low"
"Paul Reed","PHI",24,205.74,95.25432,"USA",58,69,4.2,3.8,0.4,0.62,1,"Early Prime",1,"Low"
"Paul George","LAC",33,203.2,99.79024,"USA",10,56,23.8,6.1,5.1,0.588,1,"Veteran",1,"High"
"Patty Mills","BKN",34,182.88,81.64656,"Australia",55,40,6.2,1.1,1.4,0.554,0,"Veteran",0,"Low"
"Pascal Siakam","TOR",29,203.2,104.32616,"Cameroon",27,71,24.2,7.8,5.8,0.565,0,"Prime",1,"High"
"Patrick Williams","CHI",21,200.66,97.52228,"USA",4,82,10.2,4,1.2,0.576,1,"Early Prime",0,"Medium"
"Patrick Baldwin","GSW",20,205.74,99.79024,"USA",28,31,3.9,1.3,0.4,0.546,1,"Young",1,"Low"
"Raul Neto","CLE",31,187.96,81.64656,"Brazil",47,48,3.3,1,1.6,0.628,0,"Veteran",0,"Low"
"Payton Pritchard","BOS",25,185.42,88.45044,"USA",26,48,5.6,1.8,1.3,0.536,1,"Early Prime",0,"Low"
"Reggie Bullock","DAL",32,198.12,92.98636,"USA",25,78,7.2,3.6,1.4,0.577,1,"Veteran",0,"Medium"
"Russell Westbrook","LAC",34,190.5,90.7184,"USA",4,73,15.9,5.8,7.5,0.513,1,"Veteran",0,"High"
"Richaun Holmes","SAC",29,203.2,106.59412,"USA",37,42,3.1,1.9,0.2,0.668,1,"Prime",1,"Low"
"Saddiq Bey","ATL",24,200.66,97.52228,"USA",19,77,13.8,4.7,1.5,0.564,1,"Early Prime",0,"High"
"Paolo Banchero","ORL",20,208.28,113.398,"USA",1,72,20,6.9,3.7,0.529,1,"Young",1,"High"
"Saben Lee","PHX",24,187.96,83.007336,"USA",38,25,6,1.8,2.7,0.517,1,"Early Prime",0,"Low"
"Ryan Rollins","GSW",20,190.5,81.64656,"USA",44,12,1.9,1,0.5,0.508,1,"Young",0,"Low"
"Rui Hachimura","LAL",25,203.2,104.32616,"Japan",9,63,11.2,4.5,0.9,0.556,0,"Early Prime",1,"Medium"
"Rudy Gobert","MIN",31,215.9,117.026736,"France",27,70,13.4,11.6,1.2,0.675,0,"Veteran",1,"High"
"Rudy Gay","UTA",36,203.2,113.398,"USA",8,56,5.2,2.9,1,0.473,1,"Veteran",1,"Low"
"Romeo Langford","SAS",23,195.58,97.975872,"USA",14,43,6.9,2.7,1.2,0.524,1,"Early Prime",0,"Medium"
"Robin Lopez","CLE",35,213.36,127.459352,"USA",15,37,3,1.4,0.5,0.675,1,"Veteran",1,"Low"
"Robert Williams III","BOS",25,205.74,107.501304,"USA",27,35,8,8.3,1.4,0.742,1,"Prime",1,"Medium"
"Ricky Rubio","CLE",32,187.96,86.18248,"Spain",5,33,5.2,2.1,3.5,0.442,0,"Veteran",0,"Low"
"Reggie Jackson","DEN",33,187.96,94.347136,"USA",24,68,10.2,2.1,3.4,0.514,1,"Veteran",0,"Medium"
"Montrezl Harrell","PHI",29,200.66,108.86208,"USA",32,57,5.6,2.8,0.6,0.631,1,"Prime",0,"Low"
"P.J. Tucker","PHI",38,195.58,111.13004,"USA",35,75,3.5,3.9,0.8,0.566,1,"Veteran",0,"Low"
"Nassir Little","POR",23,195.58,99.79024,"USA",25,54,6.6,2.6,0.9,0.555,1,"Early Prime",0,"Medium"
"Myles Turner","IND",27,210.82,113.398,"USA",11,62,18,7.5,1.4,0.651,1,"Prime",1,"High"
"Moussa Diabate","LAC",21,208.28,95.25432,"France",43,22,2.7,2.3,0.2,0.546,0,"Young",1,"Low"
"Moses Moody","GSW",21,195.58,95.707912,"USA",14,63,4.8,1.7,0.8,0.603,1,"Young",0,"Low"
"Moritz Wagner","ORL",26,210.82,111.13004,"Germany",25,57,10.5,4.5,1.5,0.63,0,"Prime",1,"Medium"
"Monte Morris","WAS",28,187.96,83.007336,"USA",51,62,10.3,3.4,5.3,0.579,1,"Prime",0,"Medium"
"Mo Bamba","LAL",25,213.36,104.779752,"USA",6,49,6.6,4.6,0.9,0.602,1,"Prime",1,"Medium"
"Mitchell Robinson","NYK",25,213.36,108.86208,"USA",36,59,7.4,9.4,0.9,0.652,1,"Prime",1,"Medium"
"Miles McBride","NYK",22,187.96,88.45044,"USA",36,64,3.5,0.8,1.1,0.475,1,"Young",0,"Low"
"Mike Muscala","BOS",31,210.82,108.86208,"USA",44,63,6.1,3.2,0.8,0.608,1,"Veteran",1,"Low"
"Mike Conley","MIN",35,185.42,79.3786,"USA",4,67,11.9,2.7,6.7,0.583,1,"Veteran",0,"High"
"Sam Merrill","CLE",27,193.04,92.98636,"USA",60,5,5,1.8,1,0.546,1,"Early Prime",0,"Low"
"Mikal Bridges","BKN",26,198.12,94.800728,"USA",10,83,20.1,4.4,3.3,0.587,1,"Prime",0,"High"
"Neemias Queta","SAC",23,213.36,112.490816,"Portugal",39,5,2.4,2.2,0.2,0.607,0,"Young",1,"Low"
"P.J. Washington","CHA",24,200.66,104.32616,"USA",12,73,15.7,4.9,2.4,0.542,1,"Early Prime",0,"High"
"Nerlens Noel","BKN",29,208.28,99.79024,"USA",6,17,2.1,2.7,0.6,0.424,1,"Veteran",1,"Low"
"Nick Richards","CHA",25,213.36,111.13004,"Jamaica",42,65,8.2,6.4,0.6,0.676,0,"Early Prime",1,"Medium"
"Ousmane Dieng","OKC",20,205.74,83.91452,"France",11,39,4.9,2.7,1.2,0.505,0,"Young",1,"Low"
"Otto Porter Jr.","TOR",30,203.2,89.811216,"USA",3,8,5.5,2.4,1,0.656,1,"Veteran",1,"Low"
"Onyeka Okongwu","ATL",22,205.74,108.86208,"USA",6,80,9.9,7.2,1,0.678,1,"Early Prime",1,"Medium"
"Ochai Agbaji","UTA",23,195.58,97.52228,"USA",14,59,7.9,2.1,1.1,0.561,1,"Young",0,"Medium"
"Obi Toppin","NYK",25,205.74,99.79024,"USA",8,67,7.4,2.8,1,0.565,1,"Early Prime",1,"Medium"
